iter	Passed	Remaining
0	1	130
1	3	153
2	4	146
3	5	134
4	7	136
5	9	141
6	10	134
7	12	138
8	13	140
9	15	140
10	16	134
11	18	135
12	19	132
13	21	131
14	23	130
15	24	128
16	25	126
17	27	124
18	29	124
19	31	125
20	33	125
21	35	124
22	36	121
23	38	120
24	40	120
25	41	118
26	43	117
27	45	116
28	47	115
29	48	113
30	49	111
31	51	110
32	53	109
33	55	107
34	56	105
35	58	104
36	60	102
37	62	101
38	63	99
39	65	97
40	66	96
41	67	93
42	68	91
43	69	89
44	71	87
45	72	85
46	74	83
47	75	81
48	76	79
49	78	78
50	79	76
51	80	74
52	82	72
53	83	71
54	84	69
55	85	67
56	87	66
57	88	64
58	90	62
59	91	61
60	93	59
61	95	58
62	96	56
63	98	55
64	99	53
65	101	52
66	103	50
67	105	49
68	106	47
69	108	46
70	110	44
71	111	43
72	112	41
73	114	40
74	115	38
75	117	37
76	119	35
77	120	33
78	121	32
79	123	30
80	124	29
81	126	27
82	128	26
83	129	24
84	131	23
85	133	21
86	134	20
87	136	18
88	137	17
89	139	15
90	141	13
91	142	12
92	143	10
93	145	9
94	146	7
95	148	6
96	149	4
97	151	3
98	152	1
99	154	0
